Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,314.89,314.89,321.36,313.54,318.24,4073067.0
2015-01-02,315.21,315.21,316.4,313.08,314.89,4673971.0
2015-01-03,287.13,287.13,315.83,284.89,315.21,14209564.0
2015-01-04,264.72,264.72,289.94,255.87,287.13,24255392.0
2015-01-05,274.84,274.84,278.32,262.89,264.72,14995382.0
2015-01-06,282.27,282.27,285.11,271.52,274.84,6097640.0
2015-01-07,291.34,291.34,296.06,280.74,282.27,8827164.0
2015-01-08,282.69,282.69,292.71,278.99,291.34,5796312.0
2015-01-09,287.97,287.97,290.59,277.28,282.69,5963203.0
2015-01-10,273.35,273.35,289.25,271.98,287.97,4147357.0
2015-01-11,264.77,264.77,278.01,263.76,273.35,4122751.0
2015-01-12,269.33,269.33,273.08,263.3,264.77,6899315.0
2015-01-13,221.29,221.29,269.1,217.1,269.33,22745960.0
2015-01-14,164.92,164.92,230.86,157.29,221.29,32911586.0
2015-01-15,209.78,209.78,231.26,164.55,164.92,25672423.0
2015-01-16,206.92,206.92,222.63,198.72,209.78,13208882.0
2015-01-17,199.65,199.65,212.59,191.71,206.92,8685194.0
2015-01-18,210.62,210.62,220.73,192.51,199.65,8429486.0
2015-01-19,215.87,215.87,219.48,205.47,210.62,6744459.0
2015-01-20,210.55,210.55,216.57,203.42,215.87,7926400.0
2015-01-21,228.17,228.17,229.32,207.11,210.55,9390361.0
2015-01-22,232.7,232.7,238.78,225.57,228.17,12508308.0
2015-01-23,232.17,232.17,236.97,224.84,232.7,8855407.0
2015-01-24,248.16,248.16,248.88,229.58,232.17,8011743.0
2015-01-25,252.09,252.09,256.43,241.36,248.16,12509649.0
2015-01-26,269.18,269.18,310.91,251.5,252.09,29806496.0
2015-01-27,263.27,263.27,276.9,247.26,269.18,13130803.0
2015-01-28,236.17,236.17,267.66,228.06,263.27,15880595.0
2015-01-29,233.99,233.99,241.51,220.36,236.17,12723448.0
2015-01-30,231.84,231.84,244.83,227.19,233.99,11316575.0
2015-01-31,218.51,218.51,235.36,216.46,231.84,9645307.0
2015-02-01,225.29,225.29,231.44,209.71,218.51,9058010.0
2015-02-02,238.86,238.86,242.51,220.53,225.29,8965813.0
2015-02-03,227.41,227.41,247.48,223.91,238.86,15000263.0
2015-02-04,226.58,226.58,230.71,220.23,227.41,12495299.0
2015-02-05,216.52,216.52,229.85,214.35,226.58,9055713.0
2015-02-06,222.96,222.96,226.16,215.65,216.52,11628519.0
2015-02-07,227.68,227.68,231.0,222.38,222.96,9046632.0
2015-02-08,223.67,223.67,230.23,219.5,227.68,6564922.0
2015-02-09,220.34,220.34,225.0,215.66,223.67,20192733.0
2015-02-10,219.67,219.67,222.19,214.44,220.34,18877297.0
2015-02-11,218.83,218.83,223.53,217.28,219.67,15909377.0
2015-02-12,221.79,221.79,223.0,217.3,218.83,11084499.0
2015-02-13,236.17,236.17,241.58,220.62,221.79,26243104.0
2015-02-14,258.64,258.64,261.25,235.38,236.17,33313626.0
2015-02-15,233.27,233.27,264.57,226.56,258.64,43921119.0
2015-02-16,235.83,235.83,240.03,228.01,233.27,27187677.0
2015-02-17,243.2,243.2,247.17,232.03,235.83,27926884.0
2015-02-18,235.2,235.2,245.51,231.7,243.2,23813015.0
2015-02-19,241.92,241.92,244.11,234.87,235.2,15852470.0
2015-02-20,244.52,244.52,247.76,238.83,241.92,20434846.0
2015-02-21,244.41,244.41,247.32,242.65,244.52,10570761.0
2015-02-22,235.73,235.73,246.54,232.72,244.41,18107359.0
2015-02-23,238.82,238.82,240.06,231.33,235.73,14856549.0
2015-02-24,238.89,238.89,240.25,235.5,238.82,10787951.0
2015-02-25,237.33,237.33,239.64,234.59,238.89,9092357.0
2015-02-26,236.53,236.53,238.17,233.5,237.33,12064967.0
